주제,내용,길이
기타 (14),"〈가디언즈 오브 갤럭시: Volume 3〉에 이어 작중 대사에?F-Bomb이 나오는 두 번째 마블 시네마틱 유니버스 영화로, 영화 전체에서 총 116회 등장한다. ?이전 최고 기록은 〈가디언즈 오브 갤럭시: Volume 3〉에서 1회.?드라마까지 합쳐도 〈마블 데어데블〉에서 1회이다.",159
기타 (15),쿠키 영상은 엔딩 크레딧이 끝난 후?1개가 나온다. 그 전에는 역대?엑스맨 유니버스?영화들의 비하인드 영상이 크레딧과 함께 약 2분간 나온다.,79
기타 (16),"이전?데드풀 실사영화 시리즈?작품들과 동일하게 한국어 자막에 욕설이 필터링 없이 그대로 다 번역되었는데 이전 작품들을 번역한?황석희가 그대로 참여했는지는 알려지지 않았으나,?이후 본인의 인스타그램 스토리와?무비띵크를 통해 그대로 참여한 것이 밝혀졌다.?유튜브 아이콘?다만?도핀더와?블라인드 앨이 대화를 나누는 부분에서 존댓말을 썼던 이전 작품들의 번역과는 달리 이번 작품에서는 서로 대화할 때 반말을 사용한다. 또?파묘나?킹리적 갓심,?라떼?등 유행어를 사용하는 번역도 나온 편이다.",270
기타 (17),전작들과 다르게 오프닝에 등장하는 출연진들의 이름이 실명으로 등장한다.,39
기타 (18),"2024년 2월 11일?슈퍼볼 LVIII에서 공개된 이번 작품의?영문 티저 예고편이 공개 24시간 만에 3억 6,500만 조회수를 기록, 기존 〈스파이더맨: 노 웨이 홈〉이 갖고 있던 기록인 3억 5,550만 조회수를 넘어?영화 예고편 역대 최고 시청 기록을 세웠다. ",150
기타 (19),"2024년 7월 17일,?마이크로소프트와의 협업으로 이번 작품을 테마로 한?Xbox?패키지가 공개되었는데, 이 패키지에는 데드풀 엉덩이가 들어간 컨트롤러가 포함되어 있다. ?5일 후에는 울버린 엉덩이가 들어간 컨트롤러도 공개되었다. ",130
기타 (20),기아 카니발과?혼다 오딧세이가 등장한다.,22
기타 (21),"라이언 레이놀즈와 휴 잭맨, 숀 레비가 2024년 7월 3일부터 5일까지 2박 3일간의 일정으로 내한하였다. 마블 시네마틱 유니버스 영화 주연 배우와 감독의 내한은 〈가디언즈 오브 갤럭시: Volume 3〉 이후 1년여 만으로, 이 기간 동안 세 사람은 기자간담회와 레드카펫 행사를 비롯해?고척 스카이돔에서?KBO 리그?경기 관람,?Stray Kids?방찬,?필릭스와의 만남,?워터밤?출연 등의 홍보 활동을 이어갔다.",233
기타 (22),후반부 데드풀 군단 전투 장면에서 버스에?스탠 리의 이름과 사진이 붙어 있다. 그가 항상 카메오로 등장했던 마블 시네마틱 유니버스의 전통을 이어 또다시 카메오로 출연한 셈.,96
기타 (23),커뮤니티에서 이번 작품의 일본 홍보 트럭과 베트남 홍보 보트가 화제가 되었다. ,44
기타 (24),"유키오?역할을 맡은?쿠츠나 시오리에 의하면 원래 생일파티 장면의 대본은 단조로웠으나, 라이언 레이놀즈가 현장에서 즉석으로 대본을 갈아엎어 손글씨로 맛깔난 대사를 추가한 것으로 보인다. 참고로 그의 손글씨 대본은 시오리 본인이 기념품으로 챙긴 모양. ?또한 해당 장면은 런던에서 촬영했다고 한다. ",165
기타 (25),라이언 레이놀즈는 영화 촬영을 준비하면서 몸을 키울 때 사용했던 운동기구를 자폐 아이들을 돕는 자선단체 경매에 기부하였다. ,69
기타 (26),"라이언 레이놀즈가 투자한?BWT 알핀 F1 팀의 2024 시즌 레이스 카인?A524에?벨기에 그랑프리?한정 특별 리버리가 적용되었다.?인스타그램 아이콘?이번 작품의 홍보를 위해 타이틀 스폰서인 BWT의 핑크색까지 없애며 이번 작품의 느낌을 잘 살려 디자인되었다.?드라이버인 10번?피에르 가슬리는 울버린 테마의 헬멧을, 31번?에스테반 오콘은 데드풀 테마의 헬멧을 착용하고 경기를 진행하였다. 레이싱 슈트의 내피는 울버린을 상징하는 노란색, 외피는 데드풀을 상징하는 빨간색으로 두 드라이버 모두 착용하였다. 피트 내부도 데드풀과 울버린 테마로 꾸몄다.",308
기타 (27),영국의 어느 제빵사가 실물 크기의 데드풀과 울버린 케이크를 만든 영상을 라이언 레이놀즈가 기뻐하며 공유해 화제가 되었다. ,68
기타 (28),"이번 작품이 전 세계 주간 박스오피스 1위를 달성하자 울버린 역의 휴 잭맨이?애니메이션 시리즈의 울버린?밈을 그대로 재현하였다.?X Corp 아이콘(블랙)?몇 분 뒤, 라이언 레이놀즈도 휴 잭맨이 그립다면서 똑같이 패러디하였다.?X Corp 아이콘(블랙)",142
기타 (29),"이번 작품은 〈어벤져스: 에이지 오브 울트론〉, 〈닥터 스트레인지〉, 〈어벤져스: 엔드게임〉, 〈앤트맨과 와스프: 퀀텀매니아〉 등 다수의 마블 시네마틱 유니버스 영화에 참여한 미술감독 레이몬드 찬(2024년 사망, 향년 56세)의 유작이다. 마블 스튜디오는 이와 관련해 영화 엔딩 크레딧 마지막에 추모 헌사를 삽입하는 한편 유튜브에 추모 영상을 공개하였다.",199
기타 (30),미사용된?콘셉트 아트에?벤 애플렉의?데어데블과?니콜라스 케이지의?고스트 라이더가 등장한다. 다만 배우가 출연 제안을 거절하면서 두 캐릭터의 등장은 무산되었다.,88
기타 (31),이번 작품의 제목은 티저 예고편이 공개된 슈퍼볼 LVIII 이전까지는 '데드풀과 친구(Deadpool & Friend)'였다고 한다.?유튜브 아이콘,82
기타 (32),"2024년 8월 27일, 라이언 레이놀즈가 자신의 SNS에 이번 작품의?쿠키 영상에서?TVA?배경 좌측 모니터에 작게 보이던?갬빗?영상의 원본을 공개하였다.?인스타그램 아이콘?해당 영상에서 갬빗의 눈가에 게이트 웨이가 비치면서 차기 작품에도 얼굴을 비출것으로 보인다.",149
